Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-919.1005	-1061.286	142.185	1.510523	1.55606	1.425242
6	-921.6844	-1063.08	141.3952	1.499314	3.080829	1.413024
12	-927.2524	-1068.994	141.7411	1.487947	2.992916	1.169784
18	-934.2051	-1076.206	142.0013	1.449138	2.517542	1.165617
24	-920.2277	-1062.107	141.8794	1.96981	2.411998	0.8112537
30	-922.9758	-1064.829	141.8534	1.693253	2.565353	1.056995
36	-906.2012	-1048.168	141.9672	1.661446	2.454549	1.030419
42	-906.3332	-1048.454	142.1212	1.906362	2.302464	0.5967772
48	-912.4561	-1054.327	141.8708	1.851358	2.779682	0.7431523
54	-909.0829	-1050.883	141.8004	1.791074	2.779682	0.909417
60	-921.694	-1063.714	142.0201	1.791074	2.691681	0.6576743
66	-919.2928	-1061.065	141.7718	1.830831	3.093231	0.7176652
72	-925.2358	-1067.35	142.1146	1.890701	2.290878	0.6654522
78	-924.4286	-1066.512	142.0831	2.0868	2.061977	0.5570619
84	-927.3899	-1069.501	142.1113	2.066327	2.058716	0.5099617
90	-926.3469	-1068.775	142.4279	1.805244	1.773475	0.7836972
96	-925.5309	-1067.202	141.6713	1.83094	3.078848	0.8630941
102	-915.6264	-1057.775	142.1484	1.806541	2.229764	0.7971443
108	-914.2527	-1056.592	142.3388	1.653849	2.160689	0.7971443
114	-913.3073	-1055.325	142.0181	1.995207	2.341512	0.5761592
120	-918.6162	-1060.414	141.7974	1.981156	2.831065	0.5761592
126	-923.4617	-1065.235	141.7734	2.015504	2.83133	0.4956699
132	-917.7319	-1059.685	141.9534	1.971064	2.512582	0.5857843
138	-910.6036	-1052.69	142.0866	1.795285	2.253249	0.8726506
144	-912.9447	-1055.018	142.0734	1.808437	2.253249	0.8726506
150	-913.7922	-1055.13	141.3377	1.694223	3.847667	1.050647
156	-923.5965	-1064.917	141.3206	1.59418	4.328955	1.009728
162	-915.4866	-1057.303	141.8165	1.59418	2.97268	1.009728
168	-915.5652	-1057.654	142.0887	1.642929	2.574341	0.8581729
174	-918.2583	-1060.247	141.9886	1.702496	2.33279	1.03001
180	-918.5011	-1060.821	142.3203	1.532818	2.079396	1.006024
186	-922.2797	-1064.489	142.2094	1.450614	1.702656	1.374328
192	-915.081	-1056.955	141.8742	1.432543	2.088365	1.464419
198	-914.3047	-1056.461	142.1566	1.539159	2.088365	1.148334
204	-919.9126	-1061.964	142.0515	1.632238	2.742784	0.8197723
210	-924.207	-1066.085	141.8782	1.509798	2.695499	1.146033
216	-926.4245	-1068.535	142.1104	1.640195	2.346825	0.9629954
222	-930.0212	-1072.265	142.2436	1.761542	2.237111	0.7174378
228	-928.6204	-1070.351	141.731	1.762721	3.055869	0.884294
234	-928.95	-1070.763	141.8129	1.594407	3.215125	0.9081332
240	-915.5825	-1057.915	142.332	1.781938	1.965084	0.784509
246	-912.9635	-1055.211	142.247	1.90138	1.965084	0.7341058
252	-914.9381	-1057.077	142.1385	1.838024	2.234578	0.7635404
258	-922.3109	-1064.317	142.0063	1.77598	2.638923	0.7504018
264	-920.7029	-1062.69	141.987	1.739255	2.473979	0.9202385
270	-920.911	-1063.062	142.1508	1.69899	2.390059	0.8249201
276	-925.8521	-1068.079	142.2265	1.689847	2.262138	0.8249201
282	-935.6881	-1077.702	142.0135	1.689847	2.262138	1.053885
288	-920.0576	-1062.025	141.9673	1.704311	2.537475	0.9455697
294	-926.4537	-1068.302	141.8484	1.677542	2.961975	0.8928567
300	-918.1265	-1059.793	141.666	1.693549	2.961975	1.063547
306	-902.1231	-1044.106	141.9834	1.655234	2.292286	1.09947
312	-907.3982	-1049.264	141.8662	1.549014	2.547252	1.183676
318	-911.0693	-1052.822	141.7526	1.476013	2.683914	1.286026
324	-913.1404	-1055.067	141.927	1.489794	2.350714	1.265402
330	-909.846	-1051.489	141.6425	1.477351	2.956278	1.275434
336	-910.7832	-1052.319	141.536	1.52268	3.008193	1.307327
342	-909.0839	-1051.248	142.1641	1.511426	2.458463	0.9819067
348	-906.5299	-1048.416	141.8857	1.43424	2.238942	1.390334
354	-906.3989	-1048.532	142.1334	1.523923	2.581711	0.9380226
360	-908.8444	-1050.811	141.9662	1.587791	2.748322	0.9648651
366	-911.7747	-1053.578	141.8037	1.424542	2.139037	1.502182
372	-926.1412	-1067.444	141.3032	1.441464	4.12101	1.224807
378	-922.3037	-1063.79	141.4862	1.373588	3.292416	1.373291
384	-918.7842	-1060.295	141.511	1.276043	3.292416	1.429799
390	-928.6675	-1070.703	142.0355	1.554777	2.06613	1.249657
396	-922.5842	-1064.563	141.9792	1.554777	2.166553	1.249657
402	-925.294	-1067.205	141.9113	1.554777	2.292678	1.249657
408	-927.2739	-1069.252	141.9779	1.554777	2.168856	1.249657
414	-927.5192	-1069.531	142.012	1.554777	2.107691	1.249657
420	-928.5974	-1069.815	141.2177	1.370139	3.091442	1.638038
426	-923.7218	-1065.494	141.7725	1.488705	2.861752	1.191207
432	-921.8919	-1063.894	142.0017	1.478892	2.39801	1.191207
438	-917.9242	-1059.727	141.8026	1.43458	2.441185	1.372994
444	-929.35	-1071.301	141.9511	1.521908	2.441185	1.178934
450	-920.6544	-1062.351	141.697	1.549559	2.585964	1.309034
456	-921.8834	-1063.843	141.9599	1.549559	2.140047	1.282005
462	-922.1642	-1064.577	142.4124	1.523363	1.67744	1.16019
468	-929.6684	-1071.419	141.7503	1.538302	3.188615	1.041134
474	-923.0709	-1064.723	141.6525	1.762235	3.188615	0.9117064
480	-920.8189	-1062.463	141.644	1.704463	3.126987	1.007271
486	-927.3197	-1068.949	141.6294	1.723832	3.163401	0.9874958
492	-915.9466	-1058.015	142.0686	1.732603	2.405405	0.8744288
498	-911.1495	-1052.811	141.6611	1.825003	3.196584	0.8236503
504	-916.0359	-1058.204	142.1683	1.646869	2.119908	1.020925
510	-921.0559	-1062.678	141.6225	1.622945	3.295419	1.041686
516	-919.7184	-1061.395	141.6768	1.563551	3.164866	1.095613
522	-914.707	-1056.745	142.0379	1.586621	2.182925	1.164677
528	-919.7306	-1061.559	141.8286	1.72588	2.514785	1.072746
534	-919.3813	-1061.244	141.8632	1.602233	2.809969	1.025918
540	-912.3656	-1053.639	141.2736	1.698153	4.364425	0.9397585
546	-917.6393	-1058.694	141.0546	1.776983	4.331483	1.088483
552	-932.363	-1074.319	141.9562	1.554777	2.208693	1.249657
558	-937.5137	-1079.503	141.9894	1.554777	2.148164	1.249657
564	-922.9886	-1064.459	141.4704	1.420383	2.739301	1.5286
570	-924.9298	-1066.557	141.6272	1.550989	2.32792	1.463291
576	-929.5673	-1070.708	141.1411	1.55387	2.562107	1.729986
582	-917.7445	-1058.66	140.9153	1.39973	4.60739	1.446494
588	-919.6061	-1061.308	141.702	1.475116	2.372689	1.446494
594	-927.1166	-1067.8	140.6833	1.560297	5.508066	1.305641
600	-911.7378	-1053.191	141.4527	1.429537	2.412469	1.64946
606	-915.5329	-1057.086	141.5535	1.390225	2.636988	1.524518
612	-913.6291	-1054.884	141.2551	1.324747	3.348405	1.568844
618	-922.1656	-1063.806	141.6404	1.276466	3.573239	1.240305
624	-918.4717	-1060.405	141.9335	1.615536	2.835228	0.9286509
630	-917.1422	-1058.631	141.4891	1.438479	3.033836	1.402601
636	-911.4747	-1053.141	141.6663	1.548003	2.81013	1.250346
642	-911.5728	-1053.189	141.6165	1.481645	2.81013	1.344895
648	-916.519	-1057.954	141.4355	1.476319	3.872549	1.152813
654	-926.1889	-1068.188	141.9986	1.408392	2.311579	1.290149
660	-918.4349	-1059.821	141.3863	1.278887	3.530533	1.453282
666	-913.4561	-1055.285	141.8286	1.475396	2.723975	1.207639
672	-924.0012	-1066.106	142.1053	1.392261	2.695629	1.045202
678	-922.1942	-1063.98	141.7862	1.392261	3.021382	1.203117
684	-927.0714	-1068.787	141.7154	1.209838	2.453545	1.603525
690	-919.0207	-1060.313	141.292	1.215269	3.139957	1.68139
696	-913.2601	-1054.111	140.8509	1.139704	2.828744	2.122652
702	-912.8833	-1053.677	140.7942	1.247528	4.668479	1.635437
708	-912.7376	-1053.651	140.9133	1.282135	4.385024	1.586527
714	-913.3011	-1053.926	140.6246	1.213281	2.665878	2.269667
720	-916.2768	-1057.078	140.801	1.074159	2.920452	2.171637
726	-909.9681	-1050.701	140.733	1.155054	2.673664	2.235103
732	-916.9555	-1057.82	140.8643	1.10547	2.673664	2.182251
738	-919.8887	-1061.385	141.496	1.217133	2.13414	1.870774
744	-918.5009	-1059.517	141.0161	1.43028	2.155225	2.042146
750	-918.6052	-1059.968	141.3633	1.316423	2.368473	1.807737
756	-933.0724	-1074.56	141.4879	1.290778	3.552867	1.358761
762	-922.4365	-1064.503	142.0664	1.479183	1.913801	1.358761
768	-930.1274	-1071.661	141.5339	1.387689	3.584848	1.232683
774	-931.571	-1073.202	141.6315	1.33421	2.722302	1.478289
780	-927.5239	-1069.588	142.0641	1.495724	2.010805	1.301052
786	-925.6761	-1066.931	141.255	1.358876	3.581555	1.477873
792	-918.8256	-1060.973	142.1476	1.575869	1.670343	1.341216
798	-916.6122	-1058.167	141.5553	1.650805	2.911546	1.219673
804	-919.9935	-1061.513	141.5195	1.782736	2.338653	1.362907
810	-917.2322	-1058.886	141.6534	1.541875	2.875061	1.242201
816	-911.873	-1053.58	141.7073	1.514204	2.134384	1.509134
822	-923.1196	-1064.992	141.8724	1.309445	1.876215	1.648921
828	-919.6749	-1061.435	141.7605	1.442038	2.524364	1.367928
834	-926.4348	-1068.048	141.6132	1.44556	3.153278	1.257813
840	-930.5968	-1072.452	141.8555	1.453804	2.602896	1.250933
846	-929.8834	-1071.897	142.0131	1.577361	2.305347	1.136755
852	-916.1608	-1058.134	141.9735	1.739091	2.367777	0.9907716
858	-915.5792	-1057.687	142.1076	1.643296	2.068754	1.108835
864	-923.2985	-1065.152	141.8537	1.974838	2.618784	0.6902857
870	-922.7701	-1064.743	141.9731	1.843441	2.481121	0.8087809
876	-914.7195	-1056.945	142.2254	1.81699	2.101457	0.7741943
882	-915.268	-1057.424	142.1556	1.815123	2.275538	0.7395976
888	-914.3079	-1056.014	141.7061	2.161253	2.645118	0.5604318
894	-918.3371	-1060.522	142.1844	1.888511	2.166384	0.6641862
900	-918.2786	-1059.905	141.6266	2.285072	2.485616	0.3725637
906	-923.1828	-1064.844	141.6607	2.125338	2.808728	0.5851379
912	-924.6266	-1065.943	141.3168	2.31761	3.125759	0.3895416
918	-925.4231	-1066.535	141.1116	2.181925	4.037035	0.3829267
924	-921.8422	-1063.251	141.4088	2.324637	2.878641	0.3796879
930	-929.0835	-1070.749	141.6654	2.177018	2.692525	0.4339444
936	-929.3692	-1070.886	141.5169	2.076985	3.267965	0.5808849
942	-921.1791	-1063.347	142.1682	1.706394	2.147191	0.9449598
948	-921.6548	-1063.529	141.874	1.68066	3.138232	0.7629434
954	-911.091	-1053.384	142.2928	1.860313	1.792373	0.869744
960	-919.0989	-1061.342	142.2436	1.767986	1.671548	1.095683
966	-920.7639	-1063.087	142.3232	1.648528	1.671548	1.131782
972	-937.1356	-1079.001	141.8655	1.567512	2.662358	1.119533
978	-912.7539	-1054.861	142.1073	1.626893	2.420339	0.9407182
984	-908.087	-1050.027	141.9397	1.609446	2.282541	1.18367
